channelName,totalVidoes,subscribers,views,playlistId
Tina Huang,204,624000,29075904,UU2UXDak6o7rBm23k3Vv5dww
Alex The Analyst,291,724000,31320092,UU7cs8q-gJRlGwj4A8OmCmXg
Hallden,234,693000,56318565,UUWr0mx597DnSGLFk1WfvSkQ
Keith Galli,82,213000,14696407,UUq6XkhO5SZ66N04IcPbqNcw
Code with Ania Kubów,187,406000,11085851,UU5DNytAJ6_FISueUfzZCVsw
Data Professor,325,178000,5885419,UUV8e2g4IWQqK71bbzGDEI4Q
Ken Jee,286,257000,8875011,UUiT9RITQ9PW6BhXK0y2jaeg
Thu Vu data analytics,83,216000,7199591,UUJQJAI7IjbLcpsjWdSzYz0Q
Internet Made Coder,143,318000,14959364,UUcJQ96WlEhJ0Ve0SLmU310Q
StatQuest with Josh Starmer,268,1120000,61248021,UUtYLUTtgS3k1Fg4y5tAhLbw
NeuralNine,713,317000,24323503,UU8wZnXYK_CGKlBcZp-GxYPA
Rob Mulla,153,156000,10522151,UUxladMszXan-jfgzyeIMyvw
Dave Ebbelaar,64,67900,2432144,UUn8ujwUInbJkBhffxqAPBVQ
